--- Birdlife Australia ---,--- ALA ---
Diomedea antipodensis,Diomedea exulans antipodensis
Zosterops citrinella,Zosterops citrinellus
Esacus giganteus,Esacus magnirostris
Thalassarche melanophrys,Thalassarche melanophris
Stercorarius lonnbergi,Stercorarius antarcticus lonnbergi
Thalassarche impavida,Thalassarche melanophris impavida
Thalassarche eremita,Thalassarche cauta eremita
Phylidonyris pyrrhopterus,Phylidonyris pyrrhoptera
Eudynamys cyanocephalus,Eudynamys orientalis cyanocephala
Chalcites russatus,Chalcites minutillus russatus
Phalaropus fulicaria,Phalaropus fulicarius
Thalassarche carteri,Thalassarche chlororhynchos bassi
Charadrius alexandinus,Charadrius alexandrinus
Sericornis magnirostris,Sericornis (Arfakornis) magnirostra
Collocalia linchi,Collocalia lynchi
Phalacrocorax melanoleucos,Microcarbo melanoleucos
Xanthotis macleayana,Xanthotis macleayanus
Peneonanthe pulverulenta,Peneoenanthe pulverulenta
Eudyptes moseleyi,Eudyptes chrysocome moseleyi
Turnix maculosa,Turnix (Ortygodes) maculosus
Thalassarche salvini,Thalassarche cauta salvini
Aplonis cantoroides,Aplornis (Aplornis) cantoroides
Symposiarchus trivirgatus,Symposiachrus trivirgatus
Glyciphila melanops,Gliciphila melanops
Ducula spilorrhoa,Ducula (Myristicivora) bicolor spilorrhoa
Diomedea dabbenena,Diomedea exulans exulans
Gallirallus australia,Gallirallus australis
Thalassarche steadi,Thalassarche cauta steadi
Butaster teesa,Butastur teesa
Eudynamys taitensis,Urodynamis taitensis
Aplonis metallica,Aplornis (Lamprocorax) metallica
